13,255
41,255
74,255
120,255
145,255
167,255
178,255
187,255
190,255
194,255
198,255
199,255
199,255
201,255
185,251
159,248
120,244
46,243
12,245
56,245
113,245
132,245
145,245
157,245
161,245
163,245
164,245
165,245
166,245
169,245
175,245
178,245
182,245
188,245
192,245
195,245
198,245
201,245
201,245
202,245
206,244
212,243
222,241
226,241
230,240
233,240
234,240
236,239
237,239
239,239
241,236
243,235
244,234
249,231
253,228
255,226
257,224
260,223
260,222
261,222
261,221
261,221
225,216
173,216
135,216
96,216
55,224
36,235
25,242
20,248
19,249
16,252
15,255
13,265
13,276
13,286
19,309
29,322
49,341
101,367
153,382
214,385
332,385
418,385
501,370
608,344
664,326
700,312
733,291
742,281
749,264
750,242
750,230
749,219
740,209
726,196
705,179
689,168
656,146
628,133
595,123
550,117
491,117
454,117
432,117
398,117
373,129
355,144
335,168
303,210
285,241
270,272
262,290
257,309
257,334
257,346
263,356
285,368
351,384
425,387
448,387
522,387
569,387
615,379
663,351
687,328
703,308
713,272
713,253
713,236
712,219
700,204
677,184
658,171
617,153
592,148
569,147
534,147
519,147
501,147
480,158
457,183
444,198
435,209
429,216
427,220
426,221
424,223
423,224
423,225
25,268
88,31
235,8
330,1
406,1
434,1
443,1
448,1
450,1
451,1
451,1
451,1
436,3
423,11
412,19
400,31
394,39
388,54
386,64
384,72
383,79
380,86
379,88
379,91
379,98
379,105
379,112
379,129
379,145
384,158
415,188
463,214
510,228
588,230
643,230
690,225
733,200
767,159
769,150
773,134
775,111
775,100
769,89
754,77
726,59
711,47
699,40
684,31
671,24
658,19
645,14
635,13
623,11
614,11
608,11
607,11
606,11
604,11
603,11
